,dataset,model,layers,mean_accuracy,mean_weights
110,AESDD,WAV2VEC2_LARGE,9,71.01449370384216,"[0.06814498 0.0710166  0.06875392 0.0736924  0.10462603 0.12685902
 0.12804786 0.13137596 0.12914391 0.09833933]"
111,AESDD,WAV2VEC2_LARGE,10,66.66666865348816,"[0.06058453 0.06241486 0.06110675 0.06520486 0.09359116 0.11374101
 0.11547628 0.11767511 0.11641787 0.11302826 0.08075928]"
112,AESDD,WAV2VEC2_LARGE,11,68.84058117866516,"[0.05644294 0.05828583 0.05590558 0.05875174 0.08419345 0.10545978
 0.10709919 0.10950864 0.10654195 0.10340112 0.09140626 0.06300354]"
113,AESDD,WAV2VEC2_LARGE,12,69.32367086410522,"[0.05190554 0.05425162 0.05203974 0.05386285 0.07676094 0.09739461
 0.09884392 0.10246983 0.10054414 0.09763923 0.08993107 0.06708253
 0.05727399]"
114,AESDD,WAV2VEC2_LARGE,13,68.11594069004059,"[0.04792305 0.05037164 0.04820835 0.04988128 0.06954068 0.08998143
 0.09241695 0.09407809 0.09242743 0.08841442 0.08433048 0.07021192
 0.06211746 0.06009681]"
115,AESDD,WAV2VEC2_LARGE,14,70.28985619544983,"[0.04439072 0.04614957 0.0443055  0.04575684 0.06011435 0.08079856
 0.08352986 0.08599154 0.08476858 0.0812296  0.07775899 0.0683438
 0.0641304  0.06740452 0.06532716]"
116,AESDD,WAV2VEC2_LARGE,15,69.80676352977753,"[0.04106736 0.04289721 0.04125559 0.04236169 0.05517623 0.07447197
 0.07655988 0.07915844 0.07785314 0.07328417 0.07246603 0.06324911
 0.06200974 0.06614683 0.06909671 0.06294585]"
117,AESDD,WAV2VEC2_LARGE,16,69.80676352977753,"[0.03856561 0.04046027 0.03917593 0.04024751 0.04894322 0.06811193
 0.07009238 0.07388215 0.07480494 0.06593836 0.06633463 0.05652286
 0.05708855 0.0618328  0.06722559 0.06701071 0.06376259]"
118,AESDD,WAV2VEC2_LARGE,17,71.01449370384216,"[0.03668104 0.037987   0.03737867 0.03810436 0.04502659 0.06167711
 0.06518987 0.06983344 0.07144852 0.06109962 0.06266522 0.05229056
 0.0541803  0.05831318 0.063704   0.0642282  0.06444108 0.05575127]"
119,AESDD,WAV2VEC2_LARGE,18,68.11594069004059,"[0.03514833 0.03657211 0.03638594 0.03701587 0.042977   0.05522656
 0.05880429 0.06348009 0.06652647 0.05295705 0.05828843 0.04841129
 0.04979349 0.05679117 0.06228753 0.06165615 0.06170685 0.06168265
 0.05428872]"
120,AESDD,WAV2VEC2_LARGE,19,71.2560385465622,"[0.03417769 0.03569274 0.03542135 0.03575717 0.04057775 0.04925317
 0.05421278 0.05932574 0.05831217 0.04830204 0.05341053 0.04391666
 0.04731666 0.05465596 0.05969892 0.05906769 0.05999215 0.06112917
 0.05943638 0.05034325]"
121,AESDD,WAV2VEC2_LARGE,20,71.2560385465622,"[0.03312866 0.03446656 0.0340108  0.03434144 0.03801522 0.04622391
 0.05002884 0.05351389 0.05192002 0.04490995 0.05014307 0.04097346
 0.04272119 0.05033365 0.05694046 0.05787342 0.0584329  0.06010963
 0.05994851 0.05505762 0.04690681]"
122,AESDD,WAV2VEC2_LARGE,21,72.94686138629913,"[0.03179882 0.0330926  0.03268716 0.0330169  0.03608555 0.04476014
 0.04863527 0.05156942 0.04828426 0.04120682 0.04560364 0.0397863
 0.04055414 0.04753334 0.05374522 0.05445774 0.05657317 0.05739867
 0.05800912 0.05572627 0.04854361 0.0409318 ]"
123,AESDD,WAV2VEC2_LARGE,22,71.49758636951447,"[0.03046956 0.03184951 0.0312512  0.03214645 0.03547246 0.0446024
 0.04728238 0.05051194 0.04820231 0.04092824 0.04444776 0.038808
 0.03954551 0.0460429  0.05084336 0.05132022 0.05399958 0.05415458
 0.05506693 0.05299308 0.04638622 0.04076922 0.03290614]"
